Chemin, Paquet, Classe, TLOC, TASSERT, tcmp
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialFrameTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialFrameTest, 67, 19, 3.53
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/AbstractDialLayerTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/AbstractDialLayerTest, 39, 11, 3.55
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialPointerTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialPointerTest, 85, 24, 3.54
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialRangeTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialRangeTest, 60, 17, 3.53
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialTextAnnotationTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialTextAnnotationTest, 73, 22, 3.32
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialPlotTest, 172, 37, 4.65
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/ArcDialFrameTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/ArcDialFrameTest, 79, 25, 3.16
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialCapTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialCapTest, 84, 22, 3.82
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialValueIndicatorTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialValueIndicatorTest, 109, 37, 2.95
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialBackgroundTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/DialBackgroundTest, 75, 19, 3.95
./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialScaleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/dial/StandardDialScaleTest, 155, 61, 2.54
./jfreechart-master/src/test/java/org/jfree/chart/plot/pie/PieLabelRecordTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/pie/PieLabelRecordTest, 58, 18, 3.22
./jfreechart-master/src/test/java/org/jfree/chart/plot/pie/PiePlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/pie/PiePlotTest, 467, 142, 3.29
./jfreechart-master/src/test/java/org/jfree/chart/plot/pie/MultiplePiePlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/pie/MultiplePiePlotTest, 110, 32, 3.44
./jfreechart-master/src/test/java/org/jfree/chart/plot/DefaultDrawingSupplierTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/DefaultDrawingSupplierTest, 111, 27, 4.11
./jfreechart-master/src/test/java/org/jfree/chart/plot/ValueMarkerTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/ValueMarkerTest, 140, 43, 3.26
./jfreechart-master/src/test/java/org/jfree/chart/plot/FastScatterPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/FastScatterPlotTest, 133, 38, 3.50
./jfreechart-master/src/test/java/org/jfree/chart/plot/CrosshairTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CrosshairTest, 111, 39, 2.85
./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeCategoryPlotTest, 161, 8, 20.13
./jfreechart-master/src/test/java/org/jfree/chart/plot/PolarPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/PolarPlotTest, 260, 89, 2.92
./jfreechart-master/src/test/java/org/jfree/chart/plot/PlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/PlotTest, 90, 28, 3.21
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/LineNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/LineNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/WindNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/WindNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/CompassPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/CompassPlotTest, 67, 17, 3.94
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/PointerNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/PointerNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/PlumNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/PlumNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/ShipNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/ShipNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/LongNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/LongNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/MeterNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/MeterNeedleTest, 44, 15, 2.93
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/ArrowNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/ArrowNeedleTest, 32, 8, 4.00
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/PinNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/PinNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/MiddlePinNeedleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/compass/MiddlePinNeedleTest, 28, 6, 4.67
./jfreechart-master/src/test/java/org/jfree/chart/plot/RingPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/RingPlotTest, 87, 28, 3.11
./jfreechart-master/src/test/java/org/jfree/chart/plot/CategoryPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CategoryPlotTest, 905, 225, 4.02
./jfreechart-master/src/test/java/org/jfree/chart/plot/IntervalMarkerTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/IntervalMarkerTest, 73, 18, 4.06
./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainCategoryPlotTest, 161, 9, 17.89
